ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	GWAMA-1-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	1	*I	1209	I	ga	ga	g ɐ	false
2	NORTHERN_KOMA-1-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	1	*I	1209	I	ga7	ga7	g ɐ ʔ	false
3	GWAMA-30-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	30	*blood	946	BLOOD	s"am	s"am	sʼ ɐ m	false
4	NORTHERN_KOMA-30-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	30	*blood	946	BLOOD	c"ab	c"ab	tsʼ ɐ b	false
5	GWAMA-31-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	31	*bone	1394	BONE	si	si	s i	false
6	NORTHERN_KOMA-31-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	31	*bone	1394	BONE	si	si	s i	false
7	GWAMA-51-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	51	*breasts	1402	BREAST	s"up"	s"up"	sʼ u pʼ	false
8	NORTHERN_KOMA-51-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	51	*breasts	1402	BREAST	c"ob	c"ob	tsʼ o b	false
9	GWAMA-66-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	66	*come	1446	COME	hoyo	hoyo	h o j o	false
10	NORTHERN_KOMA-66-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	66	*come	1446	COME	ho	ho	h o	false
11	GWAMA-61-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	61	*die	1494	DIE	s"i	s"i	sʼ i	false
12	NORTHERN_KOMA-61-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	61	*die	1494	DIE	c"ic"i7	c"ic"i7	tsʼ i tsʼ i ʔ	false
13	GWAMA-21-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	21	*dog	2009	DOG	kana	kana	k ɐ n ɐ	false
14	NORTHERN_KOMA-21-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	21	*dog	2009	DOG	kana	kana	k ɐ n ɐ	false
15	GWAMA-54-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	54	*drink	1401	DRINK	t"op"	t"op"	tʼ o pʼ	false
16	NORTHERN_KOMA-54-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	54	*drink	1401	DRINK	t"obat"ob	t"obat"ob	tʼ o b ɐ tʼ o b	false
17	GWAMA-39-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	39	*ear	1247	EAR	s"eye	s"eye	sʼ e j e	false
18	NORTHERN_KOMA-39-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	39	*ear	1247	EAR	c"E	c"E	tsʼ a	false
19	GWAMA-40-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	40	*eye	1248	EYE	zi	zi	z i	false
20	NORTHERN_KOMA-40-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	40	*eye	1248	EYE	zi	zi	z i	false
21	GWAMA-82-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	82	*fire	221	FIRE	ant"	ant"	ɐ n tʼ	false
22	NORTHERN_KOMA-82-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	82	*fire	221	FIRE	ant~	ant~	ɐ ⁿt	false
23	NORTHERN_KOMA-82-2	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	82	*fire	221	FIRE	ant~E	ant~E	ɐ ⁿt a	false
24	GWAMA-19-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	19	*fish	227	FISH	was"s"	was"s"	w ɐ sʼ sʼ	false
25	NORTHERN_KOMA-19-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	19	*fish	227	FISH	wac"	wac"	w ɐ tsʼ	false
26	GWAMA-95-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	95	*full	1429	FULL	ili	ili	i l i	false
27	GWAMA-48-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	48	*hand	1277	HAND	bit"	bit"	b i tʼ	false
28	NORTHERN_KOMA-48-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	48	*hand	1277	HAND	mit	mit	m i t	false
29	GWAMA-58-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	58	*hear	1408	HEAR	k"ep	k"ep	kʼ e p	false
30	NORTHERN_KOMA-58-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	58	*hear	1408	HEAR	kEpEkEp	kEpEkEp	k a p a k a p	false
31	GWAMA-34-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	34	*horn	1393	HORN (ANATOMY)	kw~ap"	kw~ap"	kʷ ɐ pʼ	false
32	NORTHERN_KOMA-34-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	34	*horn	1393	HORN (ANATOMY)	kw~ap	kw~ap	kʷ ɐ p	false
33	GWAMA-47-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	47	*knee	1371	KNEE	dugull	dugull	d u g u l l	false
34	NORTHERN_KOMA-47-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	47	*knee	1371	KNEE	dugi	dugi	d u g i	false
35	NORTHERN_KOMA-25-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	25	*leaf	628	LEAF	c"e	c"e	tsʼ e	false
36	GWAMA-53-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	53	*liver	1224	LIVER	toto	toto	t o t o	false
37	NORTHERN_KOMA-53-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	53	*liver	1224	LIVER	toto	toto	t o t o	false
38	GWAMA-22-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	22	*louse	1392	LOUSE	s"owanz~o	s"owanz~o	sʼ o w ɐ ⁿz o	false
39	GWAMA-86-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	86	*mountain	639	MOUNTAIN	ko	ko	k o	false
40	NORTHERN_KOMA-86-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	86	*mountain	639	MOUNTAIN	ko	ko	k o	false
41	GWAMA-100-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	100	*name	1405	NAME	sonk"	sonk"	s o n kʼ	false
42	NORTHERN_KOMA-100-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	100	*name	1405	NAME	tui	tui	t u i	false
43	GWAMA-96-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	96	*new	1231	NEW	didiSS	didiSS	d i d i ʃ ʃ	false
44	NORTHERN_KOMA-96-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	96	*new	1231	NEW	didiS	didiS	d i d i ʃ	false
45	GWAMA-92-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	92	*night	1233	NIGHT	anz~ugun	anz~ugun	ɐ ⁿz u g u n	false
46	NORTHERN_KOMA-92-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	92	*night	1233	NIGHT	sukun	sukun	s u k u n	false
47	GWAMA-41-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	41	*nose	1221	NOSE	SunS~	SunS~	ʃ u ⁿʃ	false
48	NORTHERN_KOMA-41-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	41	*nose	1221	NOSE	sunS	sunS	s u n ʃ	false
49	GWAMA-11-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	11	*one	1493	ONE	asiyene	asiyene	ɐ s i j e n e	false
50	NORTHERN_KOMA-11-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	11	*one	1493	ONE	sond~o	sond~o	s o ⁿd o	false
51	GWAMA-85-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	85	*path	2252	PATH	aNa	aNa	ɐ ŋ ɐ	false
52	NORTHERN_KOMA-85-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	85	*path	2252	PATH	aNa	aNa	ɐ ŋ ɐ	false
53	GWAMA-18-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	18	*person	683	PERSON	sit	sit	s i t	false
54	NORTHERN_KOMA-18-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	18	*person	683	PERSON	sit	sit	s i t	false
55	GWAMA-57-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	57	*see	1409	SEE	Si	Si	ʃ i	false
56	NORTHERN_KOMA-57-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	57	*see	1409	SEE	SiyaSe7	SiyaSe7	ʃ i j ɐ ʃ e ʔ	false
57	GWAMA-28-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	28	*skin	763	SKIN	gong~o	gong~o	g o ⁿg o	false
58	NORTHERN_KOMA-28-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	28	*skin	763	SKIN	goNg~o	goNg~o	g o ⁿg o	false
59	GWAMA-74-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	74	*star	1430	STAR	bizin	bizin	b i z i n	false
60	NORTHERN_KOMA-74-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	74	*star	1430	STAR	bizE	bizE	b i z a	false
61	GWAMA-77-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	77	*stone	857	STONE	p"idill	p"idill	pʼ i d i l l	false
62	NORTHERN_KOMA-77-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	77	*stone	857	STONE	pidin	pidin	p i d i n	false
63	GWAMA-72-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	72	*sun	1343	SUN	kala	kala	k ɐ l ɐ	false
64	NORTHERN_KOMA-72-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	72	*sun	1343	SUN	kaya	kaya	k ɐ j ɐ	false
65	GWAMA-44-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	44	*tongue	1205	TONGUE	t"akall	t"akall	tʼ ɐ k ɐ l l	false
66	NORTHERN_KOMA-44-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	44	*tongue	1205	TONGUE	t"ake7	t"ake7	tʼ ɐ k e ʔ	false
67	GWAMA-43-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	43	*tooth	1380	TOOTH	Si	Si	ʃ i	false
68	NORTHERN_KOMA-43-1	NORTHERN_KOMA	NORTHERN_KOMA	kwam1249	Gwama	Koman			False	43	*tooth	1380	TOOTH	Si7	Si7	ʃ i ʔ	false
69	GWAMA-23-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	23	*tree	906	TREE	swala	swala	s w ɐ l ɐ	false
